"cnty_fips","display_name","Value","theme_range"
08013,"""Boulder, (CO)""",91.2,"32.1 - 91.7 (644)"
08014,"""Broomfield, (CO)""",95.4,"91.8 - 123.2 (642)"
08015,"""Chaffee, (CO)""",39.7,"32.1 - 91.7 (644)"
08017,"""Cheyenne, (CO)""",71.7,"32.1 - 91.7 (644)"
08019,"""Clear Creek, (CO)""",87.1,"32.1 - 91.7 (644)"
08021,"""Conejos, (CO)""",80,"32.1 - 91.7 (644)"
08023,"""Costilla, (CO)""",104.5,"91.8 - 123.2 (642)"
08025,"""Crowley, (CO)""",133.5,"123.3 - 144.4 (644)"
08027,"""Custer, (CO)""",88.5,"32.1 - 91.7 (644)"
08029,"""Delta, (CO)""",75.5,"32.1 - 91.7 (644)"
08031,"""Denver, (CO)""",110.7,"91.8 - 123.2 (642)"
08033,"""Dolores, (CO)""",54.8,"32.1 - 91.7 (644)"
08035,"""Douglas, (CO)""",119.7,"91.8 - 123.2 (642)"
08037,"""Eagle, (CO)""",82.9,"32.1 - 91.7 (644)"
08039,"""Elbert, (CO)""",111.6,"91.8 - 123.2 (642)"
08041,"""El Paso, (CO)""",109.9,"91.8 - 123.2 (642)"
08043,"""Fremont, (CO)""",90.1,"32.1 - 91.7 (644)"
08045,"""Garfield, (CO)""",79.2,"32.1 - 91.7 (644)"
08047,"""Gilpin, (CO)""",91,"32.1 - 91.7 (644)"
08049,"""Grand, (CO)""",72.7,"32.1 - 91.7 (644)"
08051,"""Gunnison, (CO)""",49.8,"32.1 - 91.7 (644)"
08053,"""Hinsdale, (CO)""",64.5,"32.1 - 91.7 (644)"
08055,"""Huerfano, (CO)""",70,"32.1 - 91.7 (644)"
08057,"""Jackson, (CO)""",89,"32.1 - 91.7 (644)"
08059,"""Jefferson, (CO)""",102.8,"91.8 - 123.2 (642)"
08061,"""Kiowa, (CO)""",71.7,"32.1 - 91.7 (644)"
08063,"""Kit Carson, (CO)""",71.3,"32.1 - 91.7 (644)"
08065,"""Lake, (CO)""",57.8,"32.1 - 91.7 (644)"
08067,"""La Plata, (CO)""",75.2,"32.1 - 91.7 (644)"
08069,"""Larimer, (CO)""",97.8,"91.8 - 123.2 (642)"
08071,"""Las Animas, (CO)""",80.5,"32.1 - 91.7 (644)"
08073,"""Lincoln, (CO)""",84.5,"32.1 - 91.7 (644)"
08075,"""Logan, (CO)""",120.8,"91.8 - 123.2 (642)"
08077,"""Mesa, (CO)""",84.4,"32.1 - 91.7 (644)"
08079,"""Mineral, (CO)""",77.8,"32.1 - 91.7 (644)"
08081,"""Moffat, (CO)""",55.9,"32.1 - 91.7 (644)"
08083,"""Montezuma, (CO)""",50.6,"32.1 - 91.7 (644)"
08085,"""Montrose, (CO)""",80.1,"32.1 - 91.7 (644)"
08087,"""Morgan, (CO)""",108.6,"91.8 - 123.2 (642)"
08089,"""Otero, (CO)""",139,"123.3 - 144.4 (644)"
08091,"""Ouray, (CO)""",49.8,"32.1 - 91.7 (644)"
08093,"""Park, (CO)""",89.5,"32.1 - 91.7 (644)"
08095,"""Phillips, (CO)""",72.7,"32.1 - 91.7 (644)"
08097,"""Pitkin, (CO)""",49,"32.1 - 91.7 (644)"
08099,"""Prowers, (CO)""",88.4,"32.1 - 91.7 (644)"
08101,"""Pueblo, (CO)""",130.8,"123.3 - 144.4 (644)"
08103,"""Rio Blanco, (CO)""",66.4,"32.1 - 91.7 (644)"
08105,"""Rio Grande, (CO)""",84.1,"32.1 - 91.7 (644)"
08107,"""Routt, (CO)""",71,"32.1 - 91.7 (644)"
08109,"""Saguache, (CO)""",74.5,"32.1 - 91.7 (644)"
08111,"""San Juan, (CO)""",89.6,"32.1 - 91.7 (644)"
08113,"""San Miguel, (CO)""",74.6,"32.1 - 91.7 (644)"
08115,"""Sedgwick, (CO)""",66.3,"32.1 - 91.7 (644)"
08117,"""Summit, (CO)""",74.3,"32.1 - 91.7 (644)"
08119,"""Teller, (CO)""",81.7,"32.1 - 91.7 (644)"
08121,"""Washington, (CO)""",87.9,"32.1 - 91.7 (644)"
08123,"""Weld, (CO)""",113.2,"91.8 - 123.2 (642)"
08125,"""Yuma, (CO)""",64.6,"32.1 - 91.7 (644)"
09001,"""Fairfield, (CT)""",130.4,"123.3 - 144.4 (644)"
09003,"""Hartford, (CT)""",141.1,"123.3 - 144.4 (644)"
09005,"""Litchfield, (CT)""",127.7,"123.3 - 144.4 (644)"
09007,"""Middlesex, (CT)""",131.3,"123.3 - 144.4 (644)"
09009,"""New Haven, (CT)""",146.1,"144.5 - 164.4 (639)"
09011,"""New London, (CT)""",144.8,"144.5 - 164.4 (639)"
09013,"""Tolland, (CT)""",131.6,"123.3 - 144.4 (644)"
09015,"""Windham, (CT)""",143.4,"123.3 - 144.4 (644)"
10001,"""Kent, (DE)""",152.1,"144.5 - 164.4 (639)"
10003,"""New Castle, (DE)""",150.5,"144.5 - 164.4 (639)"
10005,"""Sussex, (DE)""",135.1,"123.3 - 144.4 (644)"
11001,"""District of Columbia, (DC)""",142.7,"123.3 - 144.4 (644)"
12001,"""Alachua, (FL)""",170.5,"164.5 - 283.2 (641)"
12003,"""Baker, (FL)""",196.1,"164.5 - 283.2 (641)"
12005,"""Bay, (FL)""",170.8,"164.5 - 283.2 (641)"
12007,"""Bradford, (FL)""",159.3,"144.5 - 164.4 (639)"
12009,"""Brevard, (FL)""",153.6,"144.5 - 164.4 (639)"
12011,"""Broward, (FL)""",162.1,"144.5 - 164.4 (639)"
12013,"""Calhoun, (FL)""",137.4,"123.3 - 144.4 (644)"
12015,"""Charlotte, (FL)""",153.4,"144.5 - 164.4 (639)"
12017,"""Citrus, (FL)""",152,"144.5 - 164.4 (639)"
12019,"""Clay, (FL)""",185.5,"164.5 - 283.2 (641)"
12021,"""Collier, (FL)""",112.9,"91.8 - 123.2 (642)"
12023,"""Columbia, (FL)""",205.9,"164.5 - 283.2 (641)"
12027,"""DeSoto, (FL)""",171.4,"164.5 - 283.2 (641)"
12029,"""Dixie, (FL)""",207.2,"164.5 - 283.2 (641)"
12031,"""Duval, (FL)""",201.1,"164.5 - 283.2 (641)"
