"GEO_ID","NAME","B19083_001E","B19083_001M"
"id","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index"
"0500000US31077","Greeley County, Nebraska","0.4090","0.0243"
"0500000US31079","Hall County, Nebraska","0.4407","0.0197"
"0500000US31131","Otoe County, Nebraska","0.4194","0.0255"
"0500000US31145","Red Willow County, Nebraska","0.4174","0.0239"
"0500000US31045","Dawes County, Nebraska","0.4053","0.0359"
"0500000US31033","Cheyenne County, Nebraska","0.4309","0.0208"
"0500000US31047","Dawson County, Nebraska","0.4144","0.0261"
"0500000US31175","Valley County, Nebraska","0.4459","0.0410"
"0500000US31117","McPherson County, Nebraska","0.4108","0.0648"
"0500000US31125","Nance County, Nebraska","0.4803","0.0657"
"0500000US31167","Stanton County, Nebraska","0.4110","0.0685"
"0500000US31083","Harlan County, Nebraska","0.4092","0.0307"
"0500000US31009","Blaine County, Nebraska","0.3731","0.0515"
"0500000US31019","Buffalo County, Nebraska","0.4498","0.0229"
"0500000US31049","Deuel County, Nebraska","0.4050","0.0330"
"0500000US31087","Hitchcock County, Nebraska","0.4533","0.0550"
"0500000US31141","Platte County, Nebraska","0.4135","0.0222"
"0500000US31169","Thayer County, Nebraska","0.4002","0.0201"
"0500000US31013","Box Butte County, Nebraska","0.3908","0.0282"
"0500000US32001","Churchill County, Nevada","0.4112","0.0193"
"0500000US32005","Douglas County, Nevada","0.4382","0.0172"
"0500000US32027","Pershing County, Nevada","0.4214","0.0328"
"0500000US32009","Esmeralda County, Nevada","0.3543","0.0347"
"0500000US32013","Humboldt County, Nevada","0.3659","0.0187"
"0500000US32021","Mineral County, Nevada","0.4289","0.0314"
"0500000US32033","White Pine County, Nevada","0.3983","0.0280"
"0500000US32007","Elko County, Nevada","0.3866","0.0155"
"0500000US32017","Lincoln County, Nevada","0.3680","0.0358"
"0500000US32023","Nye County, Nevada","0.4194","0.0202"
"0500000US32029","Storey County, Nevada","0.4175","0.0465"
"0500000US32031","Washoe County, Nevada","0.4581","0.0058"
"0500000US32003","Clark County, Nevada","0.4614","0.0034"
"0500000US32510","Carson City, Nevada","0.4543","0.0177"
"0500000US32019","Lyon County, Nevada","0.3962","0.0134"
"0500000US33005","Cheshire County, New Hampshire","0.4563","0.0172"
"0500000US33013","Merrimack County, New Hampshire","0.4285","0.0089"
"0500000US33009","Grafton County, New Hampshire","0.4773","0.0135"
"0500000US33015","Rockingham County, New Hampshire","0.4199","0.0060"
"0500000US33001","Belknap County, New Hampshire","0.4292","0.0131"
"0500000US33019","Sullivan County, New Hampshire","0.4179","0.0144"
"0500000US33011","Hillsborough County, New Hampshire","0.4299","0.0060"
"0500000US33017","Strafford County, New Hampshire","0.4320","0.0115"
"0500000US33007","Coos County, New Hampshire","0.4356","0.0139"
"0500000US33003","Carroll County, New Hampshire","0.4503","0.0146"
"0500000US34025","Monmouth County, New Jersey","0.4729","0.0047"
"0500000US34037","Sussex County, New Jersey","0.4098","0.0095"
"0500000US34011","Cumberland County, New Jersey","0.4512","0.0117"
"0500000US34013","Essex County, New Jersey","0.5529","0.0045"
"0500000US34029","Ocean County, New Jersey","0.4506","0.0055"
"0500000US34015","Gloucester County, New Jersey","0.4148","0.0064"
"0500000US34033","Salem County, New Jersey","0.4469","0.0243"
"0500000US34031","Passaic County, New Jersey","0.4732","0.0053"
"0500000US34007","Camden County, New Jersey","0.4693","0.0062"
"0500000US34003","Bergen County, New Jersey","0.4776","0.0047"
"0500000US34041","Warren County, New Jersey","0.4182","0.0084"
"0500000US34017","Hudson County, New Jersey","0.5049","0.0058"
